Year,Month,Lond,Latd,School,Bet_cp,Skj_cp,Yft_cp,Sum_cp,Chla,SSHA,SST
1998,12,165.5,-1.5,1,0.06,0.3,2.52,2.87,0.12841111,0.74333333,28.848
1998,7,158.5,2.5,1,0,0.41,0,0.41,0.10289375,0.88888889,29.45
1998,8,183.5,4.5,3,1.37,0.512,14.132,16.016,0,0.74324324,28.195
1998,11,169.5,2.5,1,0.83,0.59,35.36,36.77,0.1547375,1.25263158,28.07916667
1998,11,166.5,-0.5,1,0.58,0.88,24.84,26.3,0.208575,-2.54742268,28.04166667
1998,7,160.5,3.5,3,0,1.04,0,1.04,0.12759375,-7.15116279,29.32083333
1998,2,166.5,-6.5,1,0.49,1.08,21.15,22.73,0.12256667,-4.49375,28.43076923
1998,7,169.5,0.5,1,0,1.25,0,1.25,0.226375,-4.95223881,28.35
1998,3,154.5,-2.5,1,0.01,1.29,0.63,1.94,0.0771875,2.81764706,28.9125
1998,3,143.5,-1.5,3,0,1.33,0,1.33,0.14524167,4.81176471,28.955
1998,3,143.5,-0.5,1,0,1.33,0,1.33,0.12805625,-2.90188679,28.99583333
1998,4,157.5,-3.5,2,0.48,1.39333333,19,20.87666667,0.074925,6.63823529,29.1625
1998,11,167.5,-0.5,1,0.21,1.48,9.02,10.71,0.21059375,-5.55888889,27.72083333
1998,8,161.5,2.5,3,0,1.54,0,1.54,0.14328125,-6.48571429,28.75
1998,8,164.5,3.5,3,0,1.54,0,1.54,0.1388625,-3.6,29.1
1998,11,168.5,1.5,1,0.86,1.66,36.79,39.31,0.19761111,-4.44871795,27.786
1998,1,167.5,-4.5,2,0.42,1.665,12.075,14.165,0.09482727,-0.92142857,29.01964286
1998,2,156.5,-1.5,1,0.42,1.67,17.98,20.07,0.10048889,-13.21612903,28.77
1998,8,155.5,4.5,3,0,1.9,0,1.9,0.09079167,-0.78850575,29.544
1998,8,156.5,4.5,3,0,1.9,0,1.9,0.08076667,-1.44025974,29.615
1998,4,151.5,-7.5,1,0,2.05,0,2.05,0.10988333,-3.12888889,29.17916667
1998,8,154.5,2.5,3,0,2.22,0,2.22,0.08093125,-6.43051948,29.40416667
1998,4,153.5,-6.5,1,0.83,2.28,35.62,38.72,0.10075,-0.94285714,29.13333333
1998,4,143.5,3.5,4,0,2.35,0,2.35,0.11875333,-3.46142857,28.57083333
1998,4,144.5,3.5,4,0,2.35,0,2.35,0.11325,0,28.59166667
1998,4,155.5,-3.5,2,0.16666667,2.43333333,7.13333333,9.73333333,0.07835625,-3.64,28.985
1998,4,174.5,-3.5,3,0.47,2.5,2.03,5,0.06214167,1.93076923,29.05416667
1998,3,157.5,3.5,1,0,2.5,0,2.5,0.1353,-4.06619718,28.25416667
1998,5,145.5,2.5,3,0,2.5,0,2.5,0.08375,-7.44285714,29.2
1998,6,160.5,0.5,1,0,2.5,0,2.5,0.16579375,0.4962963,28.90416667
1998,8,142.5,5.5,3,0,2.5,0,2.5,0.049525,2.08666667,30.20416667
1998,9,170.5,-0.5,3,0,2.5,0,2.5,0.237475,-5.85064935,27.78333333
1998,3,154.5,-8.5,2,0.92,2.65,10.075,13.64,0.09244615,3.15789474,29.54583333
1998,6,162.5,-3.5,1,0.06,2.67,2.61,5.33,0.10206667,5.58529412,29.345
1998,2,153.5,-2.5,3.5,2.41,2.72,7.815,12.945,0.08666667,-7.14081633,28.46142857
1998,2,154.5,-1.5,4,0,2.72,0,2.72,0.09563333,9.35588235,28.65
1998,12,158.5,4.5,3,0,2.72,0,2.72,0.04590833,-4.10891089,29.3
1998,10,167.5,3.5,1,0.13,2.86,5.58,8.57,0.13055625,2.84516129,29.55416667
1998,1,160.5,-4.5,1,0.17,2.92,7.14,10.23,0.08954545,-8.39833333,29.52321429
1998,9,166.5,2.5,1,0,2.99,0,2.99,0.15919375,-3.07230769,29.0875
1998,12,167.5,1.5,1,0.07,3.02,2.95,6.04,0.1832,0,28.295
1998,7,163.5,-8.5,5,2,3.07,9.05,14.11,0.150425,-1.02608696,28.2875
1998,7,161.5,-7.5,3,1.72,3.07,7.48,12.27,0.15785833,-2.45365854,27.98333333
1998,7,161.5,1.5,3,0,3.11,0,3.11,0.14804167,0.99411765,29.13
1998,7,161.5,4.5,3,0,3.11,0,3.11,0.11619167,-0.94767442,29.21
1998,1,150.5,-6.5,4,0,3.13,0,3.13,0.09024444,9.08333333,29.064
1998,3,164.5,-4.5,2.5,0.075,3.205,3.13,6.41,0.0973375,5.33333333,28.665
1998,6,169.5,-1.5,1,0,3.21,0,3.21,0.189075,8.80909091,28.6
1998,1,159.5,-3.5,3,0.94,3.24333333,4.58,8.76333333,0.09089167,-4.06119403,29.23
1998,7,160.5,-7.5,3,0.19,3.27,0.83,4.29,0.16955,-17.38617021,28.16571429
1998,11,150.5,5.5,5,0,3.33,0,3.33,0.04804167,6.87605634,30.20416667
1998,1,163.5,-5.5,1,0.35,3.38,14.81,18.54,0.11429375,-3.42470588,29.325
1998,2,153.5,-5.5,2,0.395,3.39,1.72,5.505,0.10551667,1.36216216,29.18636364
1998,8,158.5,3.5,3,0,3.8,0,3.8,0.0920625,-4.18965517,29.30416667
1998,7,152.5,3.5,3,0,3.87,0,3.87,0.06860625,-9.2047619,29.51
1998,7,153.5,2.5,2,0,3.995,0,3.995,0.07190833,2.39677419,29.85416667
1998,6,160.5,-4.5,1,0,4,0,4,0.08096667,1.4875,29.66
1998,6,163.5,-2.5,1,0,4,0,4,0.1231875,1.46428571,29.475
