Year,Month,Lond,Latd,School,Bet_cp,Skj_cp,Yft_cp,Sum_cp,Chla,SSHA,SST
1998 ,12 ,160.5 ,1.5 ,3.0 ,3.3200 ,134.7500 ,14.4100 ,152.4800 ,0.0885 ,-0.4975 ,29.2800 
1998 ,3 ,176.5 ,-3.5 ,3.0 ,0.4200 ,121.6900 ,1.8300 ,123.9400 ,0.0629 ,1.2934 ,28.7955 
1998 ,10 ,164.5 ,2.5 ,1.0 ,0.1500 ,115.8900 ,6.4700 ,122.5200 ,0.1332 ,4.4029 ,29.0750 
1998 ,12 ,163.5 ,-3.5 ,1.0 ,0.7400 ,107.6900 ,31.5700 ,140.0000 ,0.0456 ,-0.7527 ,29.6042 
1998 ,10 ,167.5 ,1.5 ,2.0 ,0.2250 ,106.6950 ,9.7400 ,116.6600 ,0.2056 ,-0.4034 ,28.3350 
1998 ,5 ,162.5 ,-2.5 ,3.0 ,0.1233 ,95.1833 ,2.4200 ,97.7233 ,0.1285 ,3.7524 ,29.1050 
1998 ,12 ,163.5 ,-2.5 ,2.0 ,1.0750 ,94.9100 ,12.8150 ,108.8000 ,0.0582 ,0.6091 ,29.6292 
1998 ,9 ,176.5 ,4.5 ,2.7 ,0.1500 ,92.2767 ,6.4100 ,98.8367 ,0.1010 ,3.7355 ,29.1600 
1998 ,6 ,163.5 ,-0.5 ,2.0 ,0.1500 ,92.0000 ,6.5150 ,98.6650 ,0.2251 ,-6.5472 ,28.2375 
1998 ,10 ,165.5 ,3.5 ,3.0 ,2.3150 ,89.7450 ,10.5050 ,102.5650 ,0.1075 ,-1.9424 ,29.3900 
1998 ,10 ,160.5 ,2.5 ,4.5 ,1.1950 ,88.5750 ,5.4250 ,95.1950 ,0.1327 ,-3.6407 ,29.1958 
1998 ,9 ,175.5 ,2.5 ,2.0 ,1.2700 ,88.4550 ,20.1100 ,109.8300 ,0.1418 ,-1.1542 ,28.6650 
1998 ,11 ,164.5 ,2.5 ,2.0 ,0.7600 ,84.2250 ,27.6550 ,112.6350 ,0.1470 ,1.8912 ,28.5833 
1998 ,12 ,163.5 ,-1.5 ,3.0 ,1.2600 ,80.8433 ,11.2267 ,93.3333 ,0.0958 ,2.0000 ,29.2400 
1998 ,2 ,170.5 ,-6.5 ,4.0 ,2.3900 ,80.0000 ,7.6100 ,90.0000 ,0.0923 ,-1.6765 ,28.6458 
1998 ,4 ,162.5 ,-2.5 ,1.0 ,0.0600 ,79.2300 ,2.6700 ,81.9700 ,0.0768 ,0.1353 ,29.1150 
1998 ,4 ,170.5 ,-7.5 ,2.0 ,4.5300 ,78.3350 ,19.6650 ,102.5300 ,0.1163 ,-9.8012 ,29.1417 
1998 ,5 ,162.5 ,-1.5 ,2.8 ,0.0500 ,77.3350 ,2.1325 ,79.5150 ,0.1603 ,1.1406 ,28.3620 
1998 ,2 ,149.5 ,2.5 ,3.3 ,0.4925 ,77.2800 ,2.2275 ,80.0000 ,0.1510 ,-7.1459 ,28.1850 
1998 ,2 ,160.5 ,-4.5 ,3.0 ,0.4900 ,75.4367 ,7.0800 ,83.0067 ,0.0818 ,-4.6243 ,28.5300 
1998 ,9 ,176.5 ,3.5 ,3.3 ,0.1567 ,73.7933 ,6.6700 ,80.6200 ,0.1426 ,-1.6350 ,28.7542 
1998 ,1 ,146.5 ,1.5 ,3.0 ,2.2500 ,72.0000 ,9.7500 ,84.0000 ,0.1236 ,-2.3983 ,28.5120 
1998 ,3 ,175.5 ,-3.5 ,3.0 ,0.4000 ,69.9200 ,1.7200 ,72.0300 ,0.0689 ,-0.2150 ,29.4750 
1998 ,10 ,158.5 ,2.5 ,2.7 ,0.2333 ,69.9033 ,10.0000 ,80.1367 ,0.1296 ,-5.1265 ,29.4458 
1998 ,6 ,177.5 ,3.5 ,2.5 ,0.3025 ,68.9300 ,3.6800 ,72.9150 ,0.2236 ,-4.3419 ,28.5208 
1998 ,11 ,164.5 ,0.5 ,3.0 ,0.7500 ,68.2700 ,3.2600 ,72.2900 ,0.1825 ,-0.5071 ,28.3458 
1998 ,12 ,165.5 ,1.5 ,2.0 ,0.0400 ,67.7650 ,1.6950 ,69.4950 ,0.1725 ,1.4039 ,28.6380 
1998 ,6 ,162.5 ,-0.5 ,2.0 ,0.0300 ,66.6050 ,1.3600 ,67.9950 ,0.1844 ,-5.4557 ,28.5950 
1998 ,10 ,163.5 ,2.5 ,2.7 ,0.1767 ,62.9133 ,7.5500 ,70.6400 ,0.1472 ,-2.9895 ,29.3375 
1998 ,10 ,164.5 ,1.5 ,2.7 ,0.0500 ,61.7200 ,2.1567 ,63.9267 ,0.1553 ,5.3471 ,28.7000 
